Domain,Predicted,Actual
-9.42478,-0.961422,-3.67394e-16
-9.37478,-0.953122,-0.0499792
-9.32478,-0.944648,-0.0998334
-9.27478,-0.935996,-0.149438
-9.22478,-0.927164,-0.198669
-9.17478,-0.918148,-0.247404
-9.12478,-0.908944,-0.29552
-9.07478,-0.899549,-0.342898
-9.02478,-0.889959,-0.389418
-8.97478,-0.88017,-0.434966
-8.92478,-0.870179,-0.479426
-8.87478,-0.859981,-0.522687
-8.82478,-0.849573,-0.564642
-8.77478,-0.838952,-0.605186
-8.72478,-0.828112,-0.644218
-8.67478,-0.81705,-0.681639
-8.62478,-0.805763,-0.717356
-8.57478,-0.794245,-0.75128
-8.52478,-0.782494,-0.783327
-8.47478,-0.770504,-0.813416
-8.42478,-0.758272,-0.841471
-8.37478,-0.745793,-0.867423
-8.32478,-0.733064,-0.891207
-8.27478,-0.72008,-0.912764
-8.22478,-0.706836,-0.932039
-8.17478,-0.693329,-0.948985
-8.12478,-0.679554,-0.963558
-8.07478,-0.665508,-0.975723
-8.02478,-0.651185,-0.98545
-7.97478,-0.636582,-0.992713
-7.92478,-0.621694,-0.997495
-7.87478,-0.606517,-0.999784
-7.82478,-0.591048,-0.999574
-7.77478,-0.575282,-0.996865
-7.72478,-0.559215,-0.991665
-7.67478,-0.542843,-0.983986
-7.62478,-0.526163,-0.973848
-7.57478,-0.509171,-0.961275
-7.52478,-0.491863,-0.9463
-7.47478,-0.474236,-0.92896
-7.42478,-0.456286,-0.909297
-7.37478,-0.438011,-0.887362
-7.32478,-0.419408,-0.863209
-7.27478,-0.400474,-0.836899
-7.22478,-0.381207,-0.808496
-7.17478,-0.361604,-0.778073
-7.12478,-0.341665,-0.745705
-7.07478,-0.321387,-0.711473
-7.02478,-0.30077,-0.675463
-6.97478,-0.279814,-0.637765
-6.92478,-0.258517,-0.598472
-6.87478,-0.236882,-0.557684
-6.82478,-0.214908,-0.515501
-6.77478,-0.192598,-0.472031
-6.72478,-0.169954,-0.42738
-6.67478,-0.146979,-0.381661
-6.62478,-0.123678,-0.334988
-6.57478,-0.100054,-0.287478
-6.52478,-0.0761145,-0.239249
-6.47478,-0.0518657,-0.190423
-6.42478,-0.0273157,-0.14112
-6.37478,-0.00247368,-0.0914646
-6.32478,0.0226497,-0.0415807
-6.27478,0.0480427,0.00840725
-6.22478,0.0736917,0.0583741
-6.17478,0.0995817,0.108195
-6.12478,0.125696,0.157746
-6.07478,0.152016,0.206902
-6.02478,0.178521,0.255541
-5.97478,0.205188,0.303542
-5.92478,0.231993,0.350783
-5.87478,0.258908,0.397148
-5.82478,0.285904,0.44252
-5.77478,0.312948,0.486787
-5.72478,0.340005,0.529836
-5.67478,0.367038,0.571561
-5.62478,0.394005,0.611858
-5.57478,0.420863,0.650625
-5.52478,0.447564,0.687766
-5.47478,0.474057,0.723188
-5.42478,0.50029,0.756802
-5.37478,0.526203,0.788525
-5.32478,0.551737,0.818277
-5.27478,0.576825,0.845984
-5.22478,0.601401,0.871576
-5.17478,0.62539,0.894989
-5.12478,0.648718,0.916166
-5.07478,0.671305,0.935053
-5.02478,0.693068,0.951602
-4.97478,0.713919,0.965773
-4.92478,0.733769,0.97753
-4.87478,0.752525,0.986844
-4.82478,0.77009,0.993691
-4.77478,0.786365,0.998054
-4.72478,0.80125,0.999923
-4.67478,0.81464,0.999293
-4.62478,0.826432,0.996165
-4.57478,0.83652,0.990547
-4.52478,0.844797,0.982453
-4.47478,0.851158,0.971903
-4.42478,0.855498,0.958924
-4.37478,0.857713,0.943549
-4.32478,0.857702,0.925815
-4.27478,0.855368,0.905767
-4.22478,0.850618,0.883455
-4.17478,0.843365,0.858934
-4.12478,0.833527,0.832267
-4.07478,0.821031,0.80352
-4.02478,0.805815,0.772764
-3.97478,0.787823,0.740077
-3.92478,0.767014,0.70554
-3.87478,0.743359,0.66924
-3.82478,0.716844,0.631267
-3.77478,0.687469,0.591716
-3.72478,0.655253,0.550686
-3.67478,0.620231,0.508279
-3.62478,0.582457,0.464602
-3.57478,0.542007,0.419764
-3.52478,0.498975,0.373877
-3.47478,0.453477,0.327055
-3.42478,0.405649,0.279415
-3.37478,0.355648,0.231078
-3.32478,0.303651,0.182163
-3.27478,0.249854,0.132792
-3.22478,0.194471,0.0830894
-3.17478,0.137732,0.0331792
-3.12478,0.0798811,-0.0168139
