Domain,Predicted,Actual
-9.42478,-0.176911,-3.67394e-16
-9.37478,-0.176841,-0.0499792
-9.32478,-0.176768,-0.0998334
-9.27478,-0.176694,-0.149438
-9.22478,-0.176618,-0.198669
-9.17478,-0.176541,-0.247404
-9.12478,-0.176461,-0.29552
-9.07478,-0.17638,-0.342898
-9.02478,-0.176296,-0.389418
-8.97478,-0.176211,-0.434966
-8.92478,-0.176123,-0.479426
-8.87478,-0.176033,-0.522687
-8.82478,-0.175941,-0.564642
-8.77478,-0.175847,-0.605186
-8.72478,-0.175751,-0.644218
-8.67478,-0.175652,-0.681639
-8.62478,-0.175551,-0.717356
-8.57478,-0.175447,-0.75128
-8.52478,-0.175341,-0.783327
-8.47478,-0.175233,-0.813416
-8.42478,-0.175121,-0.841471
-8.37478,-0.175007,-0.867423
-8.32478,-0.174891,-0.891207
-8.27478,-0.174771,-0.912764
-8.22478,-0.174649,-0.932039
-8.17478,-0.174523,-0.948985
-8.12478,-0.174395,-0.963558
-8.07478,-0.174263,-0.975723
-8.02478,-0.174129,-0.98545
-7.97478,-0.173991,-0.992713
-7.92478,-0.17385,-0.997495
-7.87478,-0.173705,-0.999784
-7.82478,-0.173557,-0.999574
-7.77478,-0.173405,-0.996865
-7.72478,-0.17325,-0.991665
-7.67478,-0.173091,-0.983986
-7.62478,-0.172928,-0.973848
-7.57478,-0.172761,-0.961275
-7.52478,-0.17259,-0.9463
-7.47478,-0.172415,-0.92896
-7.42478,-0.172236,-0.909297
-7.37478,-0.172052,-0.887362
-7.32478,-0.171865,-0.863209
-7.27478,-0.171672,-0.836899
-7.22478,-0.171475,-0.808496
-7.17478,-0.171274,-0.778073
-7.12478,-0.171067,-0.745705
-7.07478,-0.170856,-0.711473
-7.02478,-0.170639,-0.675463
-6.97478,-0.170417,-0.637765
-6.92478,-0.17019,-0.598472
-6.87478,-0.169958,-0.557684
-6.82478,-0.16972,-0.515501
-6.77478,-0.169476,-0.472031
-6.72478,-0.169227,-0.42738
-6.67478,-0.168972,-0.381661
-6.62478,-0.16871,-0.334988
-6.57478,-0.168443,-0.287478
-6.52478,-0.168169,-0.239249
-6.47478,-0.167888,-0.190423
-6.42478,-0.167601,-0.14112
-6.37478,-0.167307,-0.0914646
-6.32478,-0.167006,-0.0415807
-6.27478,-0.166698,0.00840725
-6.22478,-0.166383,0.0583741
-6.17478,-0.16606,0.108195
-6.12478,-0.16573,0.157746
-6.07478,-0.165392,0.206902
-6.02478,-0.165046,0.255541
-5.97478,-0.164691,0.303542
-5.92478,-0.164329,0.350783
-5.87478,-0.163958,0.397148
-5.82478,-0.163578,0.44252
-5.77478,-0.16319,0.486787
-5.72478,-0.162792,0.529836
-5.67478,-0.162385,0.571561
-5.62478,-0.161969,0.611858
-5.57478,-0.161543,0.650625
-5.52478,-0.161107,0.687766
-5.47478,-0.160661,0.723188
-5.42478,-0.160204,0.756802
-5.37478,-0.159737,0.788525
-5.32478,-0.15926,0.818277
-5.27478,-0.158771,0.845984
-5.22478,-0.158271,0.871576
-5.17478,-0.157759,0.894989
-5.12478,-0.157236,0.916166
-5.07478,-0.156701,0.935053
-5.02478,-0.156154,0.951602
-4.97478,-0.155594,0.965773
-4.92478,-0.155021,0.97753
-4.87478,-0.154436,0.986844
-4.82478,-0.153837,0.993691
-4.77478,-0.153225,0.998054
-4.72478,-0.152599,0.999923
-4.67478,-0.151959,0.999293
-4.62478,-0.151304,0.996165
-4.57478,-0.150635,0.990547
-4.52478,-0.149951,0.982453
-4.47478,-0.149252,0.971903
-4.42478,-0.148538,0.958924
-4.37478,-0.147807,0.943549
-4.32478,-0.147061,0.925815
-4.27478,-0.146298,0.905767
-4.22478,-0.145519,0.883455
-4.17478,-0.144722,0.858934
-4.12478,-0.143909,0.832267
-4.07478,-0.143077,0.80352
-4.02478,-0.142228,0.772764
-3.97478,-0.141361,0.740077
-3.92478,-0.140475,0.70554
-3.87478,-0.13957,0.66924
-3.82478,-0.138646,0.631267
-3.77478,-0.137703,0.591716
-3.72478,-0.13674,0.550686
-3.67478,-0.135757,0.508279
-3.62478,-0.134754,0.464602
-3.57478,-0.13373,0.419764
-3.52478,-0.132685,0.373877
-3.47478,-0.131618,0.327055
-3.42478,-0.13053,0.279415
-3.37478,-0.12942,0.231078
-3.32478,-0.128288,0.182163
-3.27478,-0.127134,0.132792
-3.22478,-0.125956,0.0830894
-3.17478,-0.124756,0.0331792
-3.12478,-0.123532,-0.0168139
-3.07478,-0.122285,-0.066765
-3.02478,-0.121014,-0.116549
-2.97478,-0.119718,-0.166042
-2.92478,-0.118399,-0.21512
-2.87478,-0.117054,-0.26366
-2.82478,-0.115685,-0.311541
-2.77478,-0.114291,-0.358644
-2.72478,-0.112872,-0.40485
-2.67478,-0.111427,-0.450044
-2.62478,-0.109956,-0.494113
-2.57478,-0.10846,-0.536948
-2.52478,-0.106938,-0.57844
-2.47478,-0.10539,-0.618486
-2.42478,-0.103815,-0.656987
-2.37478,-0.102215,-0.693845
-2.32478,-0.100588,-0.728969
-2.27478,-0.098934,-0.762271
-2.22478,-0.097254,-0.793668
-2.17478,-0.0955476,-0.823081
-2.12478,-0.0938146,-0.850437
-2.07478,-0.0920552,-0.875667
-2.02478,-0.0902694,-0.898708
-1.97478,-0.0884572,-0.919503
-1.92478,-0.0866188,-0.938
-1.87478,-0.0847543,-0.954152
-1.82478,-0.0828638,-0.96792
-1.77478,-0.0809475,-0.979268
-1.72478,-0.0790056,-0.988168
-1.67478,-0.0770384,-0.994599
-1.62478,-0.075046,-0.998543
-1.57478,-0.0730289,-0.999992
-1.52478,-0.0709873,-0.998941
-1.47478,-0.0689216,-0.995394
-1.42478,-0.0668322,-0.989358
-1.37478,-0.0647195,-0.98085
-1.32478,-0.0625839,-0.96989
-1.27478,-0.060426,-0.956506
-1.22478,-0.0582462,-0.940731
-1.17478,-0.0560451,-0.922604
-1.12478,-0.0538232,-0.902172
-1.07478,-0.0515813,-0.879484
-1.02478,-0.0493198,-0.854599
-0.974778,-0.0470396,-0.827577
-0.924778,-0.0447412,-0.798487
-0.874778,-0.0424254,-0.767401
-0.824778,-0.040093,-0.734397
-0.774778,-0.0377448,-0.699557
-0.724778,-0.0353816,-0.662969
-0.674778,-0.0330041,-0.624724
-0.624778,-0.0306134,-0.584917
-0.574778,-0.0282102,-0.543648
-0.524778,-0.0257955,-0.501021
-0.474778,-0.0233702,-0.457141
-0.424778,-0.0209352,-0.412118
-0.374778,-0.0184916,-0.366066
-0.324778,-0.0160403,-0.319098
-0.274778,-0.0135823,-0.271333
-0.224778,-0.0111185,-0.22289
-0.174778,-0.00865016,-0.173889
-0.124778,-0.00617815,-0.124454
-0.074778,-0.00370353,-0.0747083
